PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Kuspit, D				Kuspit, Donald			Gene Davis	ARTFORUM INTERNATIONAL			English	Art Exhibit Review																		1	0	0	0	0	ARTFORUM	NEW YORK	350 SEVENTH AVENUE ATTN: SUBSCRIPTIONS, NEW YORK, NY 10001 USA	1086-7058			ARTFORUM INT	Artforum Int.	DEC	2013	52	4					262	262					1	Art	Arts &amp; Humanities Citation Index (A&amp;HCI)	Art	262OW	WOS:000327747100039					2022-03-28	
J	Wu, MY; Huang, J; Ma, SG				Wu, Mengyun; Huang, Jian; Ma, Shuangge			Identifying gene-gene interactions using penalized tensor regression	STATISTICS IN MEDICINE			English	Article						gene-gene interactions; penalized selection; tensor regression	INTEGRATIVE ANALYSIS; VARIABLE SELECTION; MODEL; DECOMPOSITIONS; ENVIRONMENT; INVASION; CANCER; PATHS; LASSO	Gene-gene (GxG) interactions have been shown to be critical for the fundamental mechanisms and development of complex diseases beyond main genetic effects. The commonly adopted marginal analysis is limited by considering only a small number of G factors at a time. With the main effects, interactions hierarchical constraint, many of the existing joint analysis methods suffer from prohibitively high computational cost. In this study, we propose a new method for identifying important GxG interactions under joint modeling. The proposed method adopts tensor regression to accommodate high data dimensionality and the penalization technique for selection. It naturally accommodates the strong hierarchical structure without imposing additional constraints, making optimization much simpler and faster than in the existing studies. It outperforms multiple alternatives in simulation. The analysis of The Cancer Genome Atlas (TCGA) data on lung cancer and melanoma demonstrates that it can identify markers with important implications and better prediction performance.	[Wu, Mengyun] Shanghai Univ Finance & Econ, Sch Stat & Management, 777 Guoding Rd, Shanghai 200433, Peoples R China; [Wu, Mengyun; Ma, Shuangge] Yale Univ, Sch Publ Hlth, Dept Biostat, 60 Coll St, New Haven, CT 06520 USA; [Huang, Jian] Hong Kong Polytech Univ, Dept Appl Math, Kowloon, Hong Kong, Peoples R China		Ma, SG (corresponding author), Yale Univ, Sch Publ Hlth, Dept Biostat, 60 Coll St, New Haven, CT 06520 USA.	shuangge.ma@yale.edu		HUANG, Jian/0000-0002-5218-9269	National Bureau of Statistics of China [2016LD01]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [61402276, 91546202]; Innovative Research Team of Shanghai University of Finance and Economics [13122402]; NIHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA [R21CA191383, R01CA204120]; NATIONAL CANCER INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI) [R01CA204120, R21CA191383] Funding Source: NIH RePORTER	National Bureau of Statistics of China, Grant/Award Number: 2016LD01; National Natural Science Foundation of China, Grant/Award Number: 61402276 and 91546202; Innovative Research Team of Shanghai University of Finance and Economics, Grant/Award Number: 13122402; NIH, Grant/Award Number: R21CA191383 and R01CA204120		52	9	9	0	19	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0277-6715	1097-0258		STAT MED	Stat. Med.	FEB 20	2018	37	4					598	610		10.1002/sim.7523			13	Mathematical & Computational Biology; Public, Environmental & Occupational Health; Medical Informatics; Medicine, Research & Experimental; Statistics & Probability	Science Citation Index Expanded (SCI-EXPANDED)	Mathematical & Computational Biology; Public, Environmental & Occupational Health; Medical Informatics; Research & Experimental Medicine; Mathematics	FS8BB	WOS:000422633300008	29034516	Green Accepted			2022-03-28	
J	Brown, GR; Hem, V; Katz, KS; Ovetsky, M; Wallin, C; Ermolaeva, O; Tolstoy, I; Tatusova, T; Pruitt, KD; Maglott, DR; Murphy, TD				Brown, Garth R.; Hem, Vichet; Katz, Kenneth S.; Ovetsky, Michael; Wallin, Craig; Ermolaeva, Olga; Tolstoy, Igor; Tatusova, Tatiana; Pruitt, Kim D.; Maglott, Donna R.; Murphy, Terence D.			Gene: a gene-centered information resource at NCBI	NUCLEIC ACIDS RESEARCH			English	Article							DATABASE; REFSEQ	The National Center for Biotechnology Information's (NCBI) Gene database (www.ncbi.nlm.nih.gov/gene) integrates gene-specific information from multiple data sources. NCBI Reference Sequence (RefSeq) genomes for viruses, prokaryotes and eukaryotes are the primary foundation for Gene records in that they form the critical association between sequence and a tracked gene upon which additional functional and descriptive content is anchored. Additional content is integrated based on the genomic location and RefSeq transcript and protein sequence data. The content of a Gene record represents the integration of curation and automated processing from RefSeq, collaborating model organism databases, consortia such as Gene Ontology, and other databases within NCBI. Records in Gene are assigned unique, tracked integers as identifiers. The content (citations, nomenclature, genomic location, gene products and their attributes, phenotypes, sequences, interactions, variation details, maps, expression, homologs, protein domains and external databases) is available via interactive browsing through NCBI's Entrez system, via NCBI's Entrez programming utilities (E-Utilities and Entrez Direct) and for bulk transfer by FTP.	[Brown, Garth R.; Hem, Vichet; Katz, Kenneth S.; Ovetsky, Michael; Wallin, Craig; Ermolaeva, Olga; Tolstoy, Igor; Tatusova, Tatiana; Pruitt, Kim D.; Maglott, Donna R.; Murphy, Terence D.] Natl Lib Med, Natl Ctr Biotechnol Informat, NIH, Bethesda, MD 20892 USA		Murphy, TD (corresponding author), Natl Lib Med, Natl Ctr Biotechnol Informat, NIH, Bethesda, MD 20892 USA.	murphyte@ncbi.nlm.nih.gov		Pruitt, Kim/0000-0001-7950-1374	Intramural Research Program of the National Institutes of Health, National Library of MedicineUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Library of Medicine (NLM); NATIONAL LIBRARY OF MEDICINEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Library of Medicine (NLM) [ZIHLM200888] Funding Source: NIH RePORTER	Intramural Research Program of the National Institutes of Health, National Library of Medicine. Funding for open access charge: Intramural Research Program of the National Institutes of Health, National Library of Medicine.		19	306	308	6	27	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0305-1048	1362-4962		NUCLEIC ACIDS RES	Nucleic Acids Res.	JAN 28	2015	43	D1					D36	D42		10.1093/nar/gku1055			7	Biochemistry & Molecular Biology	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology	CC2YF	WOS:000350210400006	25355515	Green Published, gold, Green Submitted			2022-03-28	
J	Tobin, Y				Tobin, Yann			Gene Kelly	POSITIF			French	Book Review																		1	0	0	0	2	POSITIF EDITIONS	PARIS	12 RUE PIERRE ET MARIE CURIE, 75005 PARIS, FRANCE	0048-4911			POSITIF	Positif	JUN	2012		616					79	80					2	Film, Radio, Television	Arts &amp; Humanities Citation Index (A&amp;HCI)	Film, Radio & Television	977QE	WOS:000306678700026					2022-03-28	
J	Miller, R				Miller, Rhiannon			Wilful genes	NEW SCIENTIST			English	Letter																		0	0	0	0	0	REED BUSINESS INFORMATION LTD	SUTTON	QUADRANT HOUSE THE QUADRANT, SUTTON SM2 5AS, SURREY, ENGLAND	0262-4079			NEW SCI	New Sci.	APR 21	2012	214	2861					36	36		10.1016/S0262-4079(12)61022-7			1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	933GH	WOS:000303348100025					2022-03-28	
J	Barker, C				Barker, Clare			Warrior Genes	MFS-MODERN FICTION STUDIES			English	Article							RISK-TAKING; RESPONSIBILITY; EPIGENETICS		[Barker, Clare] Univ Leeds, English Literature, Leeds, W Yorkshire, England		Barker, C (corresponding author), Univ Leeds, English Literature, Leeds, W Yorkshire, England.	c.f.barker@leeds.ac.uk			Wellcome Trust Seed AwardWellcome Trust [106839/Z/15/Z]	Research for this article was funded by a Wellcome Trust Seed Award (grant number 106839/Z/15/Z). I am grateful to Shital Pravinchandra, Hamilton Carroll, an anonymous reviewer from the School of English, University of Leeds, and to the MFS reviewers for their insightful and valuable feedback.		47	0	0	2	6	JOHNS HOPKINS UNIV PRESS	BALTIMORE	JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, MD 21218-4363 USA	0026-7724	1080-658X		MFS-MOD FICT STUD	MFS-Mod. Fict. Stud.	WIN	2020	66	4					755	779					25	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	PG0UU	WOS:000599460600007	33479549	Green Accepted			2022-03-28	
J	Andersen, RK; Larsen, L; Clemmensen, S; Hjelborg, J; Odum, N; Jemec, GBE; Christensen, K				Andersen, Rune Kjaersgaard; Larsen, Lisbeth; Clemmensen, Signe; Hjelborg, Jacob; Odum, Niels; Jemec, Gregor B. E.; Christensen, Kaare			Is hidradenitis suppurativa caused by gene-gene interactions?	EXPERIMENTAL DERMATOLOGY			English	Meeting Abstract									[Andersen, Rune Kjaersgaard; Jemec, Gregor B. E.] Zealand Univ Hosp, Dept Dermatol, Roskilde, Denmark; [Larsen, Lisbeth; Clemmensen, Signe; Hjelborg, Jacob; Christensen, Kaare] Univ Southern Denmark, Dept Epidemiol Biostat & Biodemog, Danish Twin Registry, Odense, Denmark; [Odum, Niels] Univ Copenhagen, Dept Immunol & Microbiol, LEO Fdn Skin Immunol Res Ctr, Copenhagen, Denmark				; Christensen, Kaare/C-2360-2009	Larsen, Lisbeth Aagaard/0000-0002-0426-0569; Clemmensen, Signe Bedsted/0000-0001-9871-149X; Hjelmborg, Jacob/0000-0001-9630-9149; Christensen, Kaare/0000-0002-5429-5292				0	0	0	0	0	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0906-6705	1600-0625		EXP DERMATOL	Exp. Dermatol.	JUN	2021	30			1	SI	P65	56	56					1	Dermatology	Science Citation Index Expanded (SCI-EXPANDED)	Dermatology	SM5ID	WOS:000657638100062					2022-03-28	
J	Garren, JM; Kim, J				Garren, Jeonifer M.; Kim, Jaejik			Bootstrapping Time-Course Gene Expression Data for Gene Networks: Application to Gene Relevance Networks	JOURNAL OF COMPUTATIONAL BIOLOGY			English	Article						bootstrap; gene regulatory network; time-course gene expression data	REGULATORY NETWORKS; VARIANCE; RECONSTRUCTION	Identification of gene regulatory networks (GRNs) is a fundamental step to understand the molecular role of each gene and it helps to develop treatment and cure of a disease. To identify GRNs, time-course gene expression data are widely used. However, the identification is hampered by intrinsic attributes of the data such as small sample size, a large number of variables, and complex error structures with high variation. Under this situation, most GRN inference methods utilize point estimators or make numerous assumptions that are often incompatible with the experimental data. Moreover, different inference methods often provide inconsistent results. An alternative to alleviate this problem can be the bootstrap method because it provides more reliable outcomes by integrating results from multiple bootstrap samples without any distributional assumptions. In this study, we propose a bootstrap method for dependent time-course gene expression data and we mainly focus on its application to gene relevance networks. The proposed method is applied to gene networks for zebrafish retina.	[Garren, Jeonifer M.] BERG Hlth, Framingham, MA USA; [Kim, Jaejik] Sungkyunkwan Univ, Dept Stat, Seoul 03063, South Korea		Kim, J (corresponding author), Sungkyunkwan Univ, Dept Stat, Seoul 03063, South Korea.	jaejik@skku.edu						29	0	0	0	10	MARY ANN LIEBERT, INC	NEW ROCHELLE	140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, NY 10801 USA	1066-5277	1557-8666		J COMPUT BIOL	J. Comput. Biol.	DEC 1	2018	25	12					1374	1384		10.1089/cmb.2018.0029			11	Biochemical Research Methods; Biotechnology & Applied Microbiology; Computer Science, Interdisciplinary Applications; Mathematical & Computational Biology; Statistics & Probability	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology; Computer Science; Mathematical & Computational Biology; Mathematics	HD5ZN	WOS:000452610900009	30133320				2022-03-28	
J	Xu, HM; Xu, LF; Hou, TT; Luo, LF; Chen, GB; Sun, XW; Lou, XY				Xu, Hai-Ming; Xu, Li-Feng; Hou, Ting-Ting; Luo, Lin-Feng; Chen, Guo-Bo; Sun, Xi-Wei; Lou, Xiang-Yang			GMDR: Versatile Software for Detecting Gene-Gene and Gene-Environment Interactions Underlying Complex Traits	CURRENT GENOMICS			English	Article						Generalized multifactor dimensionality reduction; Gene-gene interactions; Gene-environment interactions; Complex; traits; Unrelated sample; Family sample; Computer software	MULTIFACTOR-DIMENSIONALITY REDUCTION; GENERALIZED LINEAR-MODELS; COMBINATORIAL APPROACH; MISSING HERITABILITY; NICOTINE DEPENDENCE; EPISTASIS; ASSOCIATION; DISEASE; SUSCEPTIBILITY; FRAMEWORK	Identification of multifactor gene-gene (GxG) and gene-environment (GxE) interactions underlying complex traits poses one of the great challenges to today's genetic study. Development of the generalized multifactor dimensionality reduction (GMDR) method provides a practicable solution to problems in detection of interactions. To exploit the opportunities brought by the availability of diverse data, it is in high demand to develop the corresponding GMDR software that can handle a breadth of phenotypes, such as continuous, count, dichotomous, polytomous nominal, ordinal, survival and multivariate, and various kinds of study designs, such as unrelated case-control, family-based and pooled unrelated and family samples, and also allows adjustment for covariates. We developed a versatile GMDR package to implement this serial of GMDR analyses for various scenarios (e.g., unified analysis of unrelated and family samples) and large-scale (e.g., genome-wide) data. This package includes other desirable features such as data management and preprocessing. Permutation testing strategies are also built in to evaluate the threshold or empirical p values. In addition, its performance is scalable to the computational resources.	[Xu, Hai-Ming; Hou, Ting-Ting] Zhejiang Univ, Coll Agr & Biotechnol, Inst Bioinformat, Hangzhou, Zhejiang, Peoples R China; [Xu, Hai-Ming; Hou, Ting-Ting] Zhejiang Univ, Coll Agr & Biotechnol, Inst Crop Sci, Hangzhou, Zhejiang, Peoples R China; [Xu, Hai-Ming] Zhejiang Univ, Res Ctr Air Pollut & Hlth, Hangzhou, Zhejiang, Peoples R China; [Xu, Li-Feng; Luo, Lin-Feng] Zhejiang Univ Technol, Coll Comp Sci & Technol, Inst Comp Applicat Technol, Hangzhou, Zhejiang, Peoples R China; [Chen, Guo-Bo] Univ Queensland, Queensland Brain Inst, St Lucia, Qld, Australia; [Sun, Xi-Wei] Zhejiang Univ, Sir Run Run Shaw Hosp, Hangzhou, Zhejiang, Peoples R China; [Sun, Xi-Wei] Zhejiang Univ, Sch Med, Inst Translat Med, Hangzhou, Zhejiang, Peoples R China; [Lou, Xiang-Yang] Tulane Univ, Dept Biostat & Bioinformat, New Orleans, LA 70118 USA		Lou, XY (corresponding author), Tulane Univ, Sch Publ Hlth & Trop Med, Dept Biostat & Bioinformat, 1440 Canal St,Suite 2001, New Orleans, LA 70112 USA.	xlou@tulane.edu	Xu, Haiming/AAF-8067-2019		National Institute of Health GrantUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA [R01 DA025095]; National Science FoundationNational Science Foundation (NSF) [DMS1462990]; National Basic Research Programs of China (973 Programs)National Basic Research Program of China [2011CB109306]; National Natural Science FoundationNational Natural Science Foundation of China (NSFC) [31271608, 31470083]; NATIONAL INSTITUTE ON DRUG ABUSEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA)European Commission [R01DA025095] Funding Source: NIH RePORTER	The authors like to thank Dr. Jason H. Moore for making the MDR source code available to this project and Mr. Lei Yan for his contributions to the development of the previous version of GMDR. This work was supported in part by National Institute of Health Grant R01 DA025095 and National Science Foundation DMS1462990 to (X.-Y.L.), the National Basic Research Programs of China (973 Programs) 2011CB109306, and the National Natural Science Foundation 31271608 and 31470083 to (H.-M.X.). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.		27	26	26	2	12	BENTHAM SCIENCE PUBL LTD	SHARJAH	EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, 1200 BR SHARJAH, U ARAB EMIRATES	1389-2029	1875-5488		CURR GENOMICS	Curr. Genomics		2016	17	5					396	402		10.2174/1389202917666160513102612			7	Biochemistry & Molecular Biology; Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Genetics & Heredity	DT3VA	WOS:000381408100003	28479868	Green Published, Green Submitted			2022-03-28	
J	Xing, PW; Chen, Y; Gao, J; Bai, LY; Yuan, ZM				Xing, Pengwei; Chen, Yuan; Gao, Jun; Bai, Lianyang; Yuan, Zheming			A fast approach to detect gene-gene synergy	SCIENTIFIC REPORTS			English	Article							EXPRESSION; GROWTH	Selecting informative genes, including individually discriminant genes and synergic genes, from expression data has been useful for medical diagnosis and prognosis. Detecting synergic genes is more difficult than selecting individually discriminant genes. Several efforts have recently been made to detect gene-gene synergies, such as dendrogram-based I(X-1; X-2; Y) (mutual information), doublets (gene pairs) and MIC(X-1; X-2; Y) based on the maximal information coefficient. It is unclear whether dendrogram-based I(X-1; X-2; Y) and doublets can capture synergies efficiently. Although MIC(X-1; X-2; Y) can capture a wide range of interaction, it has a high computational cost triggered by its 3-D search. In this paper, we developed a simple and fast approach based on abs conversion type (i.e. Z = vertical bar X-1-X-2 vertical bar) and t-test, to detect interactions in simulation and real-world datasets. Our results showed that dendrogram-based I(X-1; X-2; Y) and doublets are helpless for discovering pair-wise gene interactions, our approach can discover typical pair-wise synergic genes efficiently. These synergic genes can reach comparable accuracy to the individually discriminant genes using the same number of genes. Classifier cannot learn well if synergic genes have not been converted properly. Combining individually discriminant and synergic genes can improve the prediction performance.	[Xing, Pengwei; Chen, Yuan; Yuan, Zheming] Hunan Agr Univ, Hunan Engn & Technol Res Ctr Agr Big Data Anal De, Changsha 410128, Hunan, Peoples R China; [Xing, Pengwei; Chen, Yuan; Yuan, Zheming] Hunan Agr Univ, Hunan Prov Key Lab Biol & Control Plant Dis & Ins, Changsha 410128, Hunan, Peoples R China; [Gao, Jun] Univ Arkansas Med Sci, Dept Biochem & Mol Biol, Little Rock, AR 72205 USA; [Bai, Lianyang] Hunan Acad Agr Sci, Biotechnol Res Ctr, Changsha 410125, Hunan, Peoples R China		Yuan, ZM (corresponding author), Hunan Agr Univ, Hunan Engn & Technol Res Ctr Agr Big Data Anal De, Changsha 410128, Hunan, Peoples R China.; Yuan, ZM (corresponding author), Hunan Agr Univ, Hunan Prov Key Lab Biol & Control Plant Dis & Ins, Changsha 410128, Hunan, Peoples R China.; Bai, LY (corresponding author), Hunan Acad Agr Sci, Biotechnol Res Ctr, Changsha 410125, Hunan, Peoples R China.	bailianyang2005@aliyun.com; zhmyuan@sina.com		xing, pengwei/0000-0003-1907-1629	National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [61701177]; Hunan Provincial Department of Education [1071]	This work was supported by the National Natural Science Foundation of China (61701177 to Y.C.), the Science Research Projects of Hunan Provincial Department of Education (1071 to Z.Y.). We thank Dr. Alicia K. Byrd for helpful suggestions.		33	5	5	2	9	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY	2045-2322			SCI REP-UK	Sci Rep	NOV 27	2017	7								16437	10.1038/s41598-017-16748-w			8	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	FN8WS	WOS:000416308500003	29180805	gold, Green Published			2022-03-28	
J	Maizels, N; Davis, L; Humbert, O; Nguyen-Tran, DH				Maizels, Nancy; Davis, Luther; Humbert, Olivier; Diem-Hang Nguyen-Tran			Targeted Gene Correction: Gene Therapy Promoted by Meganucleases	FASEB JOURNAL			English	Meeting Abstract	Experimental Biology Meeting 2011	APR 09-13, 2011	Washington, DC	Amer Assoc Anatomists (AAA), Amer Physiolog Soc (APS), Amer Soc Biochem & Mol Biol (ASBMB), Amer Soc Investigat Pathol (ASIP), Amer Soc Nutrit (ASN), Amer Soc Pharmacol & Expt Therapeut (ASPET)					[Maizels, Nancy; Davis, Luther; Humbert, Olivier; Diem-Hang Nguyen-Tran] Univ Washington, Seattle, WA 98195 USA									0	0	0	0	0	FEDERATION AMER SOC EXP BIOL	BETHESDA	9650 ROCKVILLE PIKE, BETHESDA, MD 20814-3998 USA	0892-6638			FASEB J	Faseb J.	APR	2011	25												1	Biochemistry & Molecular Biology; Biology; Cell Biology	Science Citation Index Expanded (SCI-EXPANDED); Conference Proceedings Citation Index - Science (CPCI-S)	Biochemistry & Molecular Biology; Life Sciences & Biomedicine - Other Topics; Cell Biology	032IE	WOS:000310708401760					2022-03-28	
J	Holland, C				Holland, Caroline			Gene genie	BRITISH DENTAL JOURNAL			English	Editorial Material								An important milestone has been reached with the advent of a genetic test to aid the diagnosis of amelogenesis imperfecta, says Caroline Holland.										0	2	2	0	0	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	0007-0610	1476-5373		BRIT DENT J	Br. Dent. J.	JAN 27	2017	222	2					74	74		10.1038/sj.bdj.2017.66			1	Dentistry, Oral Surgery & Medicine	Science Citation Index Expanded (SCI-EXPANDED)	Dentistry, Oral Surgery & Medicine	VH9FE	WOS:000457859300008		Bronze			2022-03-28	
J	Yildirim, IH; Cakmak, EA; Camci, C				Yildirim, Ibrahim Halil; Cakmak, Ecir Ali; Camci, Celaleddin			Gene expression of ING4 gene in pancreatic cancers and splice forms of ING4 gene	CELLULAR AND MOLECULAR BIOLOGY			English	Article						ING4; Alternative splicing; Gene expression; p53; Pancreatic cancer	TUMOR-SUPPRESSOR GENE; REDUCED EXPRESSION; P53; INHIBITOR; ADENOCARCINOMA; CARCINOMAS; FAMILY; CELLS	Pancreatic cancer is characterized by rapid metastasis and resistant to medical treatments. As the other cancers, mutations of tumor suppressor genes that involved in suppression of cell growth are observed in pancreatic cancers. ING4 protein is one of the proteins involved in the regulation of p53 tumor suppressor gene functions. ING4 involved in suppression of cell proliferation, chromosome rearrangement, cell migration, and angiogenesis. In this study, gene expressions and splicing variants of ING4 gene were investigated. Fresh tumor and normal specimens of the same pancreatic cancer patients were used. Gene expression study carried out by calculating the brightness of the bands on agarose gel and splicing variants were detected by direct sequencing. According to the results, three splice forms of ING4 and a decrease in gene expression of ING4 were determined. Splicing type of ING4 affects the translocation of ING4 proteins into the nucleus. To determine the gene expression of each splicing variant, will further clarify the role of ING4 in pancreatic cancers.	[Yildirim, Ibrahim Halil] Dicle Univ, Fac Vet Med, Dept Genet, Diyarbakir, Turkey; [Cakmak, Ecir Ali] Gaziantep Univ, Fac Med, Dept Med Biol & Genet, Konya, Turkey; [Camci, Celaleddin] Eth Private Hosp Med Oncol, Clin Bakirkoy, Istanbul, Turkey		Yildirim, IH (corresponding author), Dicle Univ, Fac Vet Med, Dept Genet, Diyarbakir, Turkey.	ihyildirim@gmail.com	Yildirim, Ibrahim/ABF-6466-2021; Camci, Celaletdin/AAD-1910-2019	Cakmak, Ecir Ali/0000-0003-2735-2105				23	2	2	0	4	C M B  ASSOC	POITIERS	34 BOULEVARD SOLFERINO, 86000 POITIERS, FRANCE	0145-5680	1165-158X		CELL MOL BIOL	Cell. Mol. Biol.		2018	64	13					6	9		10.14715/cmb/2018.64.13.2			4	Biochemistry & Molecular Biology; Cell Biology	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Cell Biology	GZ0QR	WOS:000449070100002	30403588	hybrid			2022-03-28	
J	Metcalfe, S				Metcalfe, Sarah			Gene dreams	AUSTRALIAN FAMILY PHYSICIAN			English	Editorial Material																		10	0	0	0	1	ROYAL AUSTRALIAN COLLEGE GENERAL PRACTITIONERS	SOUTH MELBOURNE	1 PALMERSTON CRESCENT, SOUTH MELBOURNE, VICTORIA 3205, AUSTRALIA	0300-8495			AUST FAM PHYSICIAN	Aust. Fam. Physician	JUL	2014	43	7					421	421					1	Primary Health Care; Medicine, General & Internal	Science Citation Index Expanded (SCI-EXPANDED)	General & Internal Medicine	AS0DH	WOS:000343948100001	25134179				2022-03-28	
J	Korona, R				Korona, Ryszard			Gene dispensability	CURRENT OPINION IN BIOTECHNOLOGY			English	Review							TRANSPOSON MUTANT LIBRARY; SACCHAROMYCES-CEREVISIAE; COMPARATIVE GENOMICS; NONESSENTIAL GENES; ESCHERICHIA-COLI; DUPLICATE GENES; FITNESS; YEAST; IDENTIFICATION; MUTATIONS	Genome-wide mutagenesis studies indicate that up to about 90% of genes in bacteria and 80% in eukaryotes can be inactivated individually leaving an organism viable, often seemingly unaffected. Several strategies are used to learn what these apparently dispensable genes contribute to fitness. Assays of growth under hundreds of physical and chemical stresses are among the most effective experimental approaches. Comparative studies of genomic DNA sequences continue to be valuable in discriminating between the core bacterial genome and the more variable niche-specific genes. The concept of the core genome appears currently unfeasible for eukaryotes but progress has been made in understanding why they contain numerous gene duplicates.	Jagiellonian Univ, Inst Environm Sci, PL-30387 Krakow, Poland		Korona, R (corresponding author), Jagiellonian Univ, Inst Environm Sci, Gronostajowa 7, PL-30387 Krakow, Poland.	ryszard.korona@uj.edu.pl	Korona, Ryszard/J-7154-2015	Korona, Ryszard/0000-0002-4329-5908	Foundation for Polish ScienceFoundation for Polish ScienceEuropean Commission; MNiSWMinistry of Science and Higher Education, Poland [3970/B/P01/2009/36]	This work was supported by the Foundation for Polish Science (The 'Mistrz' Program) and an MNiSW grant (3970/B/P01/2009/36).		52	11	13	0	11	CURRENT BIOLOGY LTD	LONDON	84 THEOBALDS RD, LONDON WC1X 8RR, ENGLAND	0958-1669			CURR OPIN BIOTECH	Curr. Opin. Biotechnol.	AUG	2011	22	4					547	551		10.1016/j.copbio.2011.04.017			5	Biochemical Research Methods; Biotechnology & Applied Microbiology	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology	815LD	WOS:000294526200012	21592774				2022-03-28	
J	Prud'homme, B; Gompel, N				Prud'homme, Benjamin; Gompel, Nicolas			Evolution: Remodelling Animal Body Plans, Gene by Gene	CURRENT BIOLOGY			English	Editorial Material							DROSOPHILA-SANTOMEA; ULTRABITHORAX; DIFFERENCE; PIGMENTATION; TRANSCRIPTS; YAKUBA; LOCUS	Changes in Homeotic (Hox) gene regulation have long been thought to drive the evolution of animal body plans. Direct genetic evidence of their evolutionary role has, however, remained limited. A new study reveals how several mutations distributed across a gene network mask the phenotypic effects of a Hox gene's evolution.	[Prud'homme, Benjamin] Aix Marseille Univ, CNRS, IBDM, F-13288 Marseille 9, France; [Gompel, Nicolas] Ludwig Maximilians Univ Munchen, Fak Biol, Biozentrum, Grosshaderner Str 2, D-82152 Planegg Martinsried, Germany		Prud'homme, B (corresponding author), Aix Marseille Univ, CNRS, IBDM, F-13288 Marseille 9, France.; Gompel, N (corresponding author), Ludwig Maximilians Univ Munchen, Fak Biol, Biozentrum, Grosshaderner Str 2, D-82152 Planegg Martinsried, Germany.	benjamin.prudhomme@univ-amu.fr; gompel@biologie.uni-muenchen.de		Gompel, Nicolas/0000-0003-3358-7963				20	0	0	1	10	CELL PRESS	CAMBRIDGE	50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA	0960-9822	1879-0445		CURR BIOL	Curr. Biol.	JUL 8	2019	29	13					R623	R625		10.1016/j.cub.2019.05.001			3	Biochemistry & Molecular Biology; Biology; Cell Biology	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Life Sciences & Biomedicine - Other Topics; Cell Biology	IH5DK	WOS:000474514400008	31287977	Green Submitted, Bronze			2022-03-28	
